"model-run","timestamp","t_2m","t_2m_unit","aswdir_s","aswdir_s_unit","aswdifd_s","aswdifd_s_unit","ws_10m","ws_10m_unit"
"06","2020-04-17 08:15:00","","",322.8438364708928,"W/m²",143.012469291687,"W/m²","",""
"06","2020-04-17 08:30:00","","",373.71914306223704,"W/m²",134.74854183197021,"W/m²","",""
"06","2020-04-17 08:45:00","","",387.67997863465996,"W/m²",149.3732132911682,"W/m²","",""
"06","2020-04-17 09:00:00",288.5499267578125,"K",328.35202818812104,"W/m²",206.83709287643433,"W/m²",4.162771595014747,"m/s"
"06","2020-04-17 09:15:00","","",455.4769658217993,"W/m²",147.59135723114014,"W/m²","",""
"06","2020-04-17 09:30:00","","",488.00828046524845,"W/m²",144.58515071868896,"W/m²","",""
"06","2020-04-17 09:45:00","","",509.54738761117886,"W/m²",147.55400466918945,"W/m²","",""
"06","2020-04-17 10:00:00",290.75390625,"K",514.3755437077199,"W/m²",159.7376766204834,"W/m²",3.921623459766708,"m/s"
"06","2020-04-17 10:15:00","","",525.2818183440974,"W/m²",165.7379150390625,"W/m²","",""
"06","2020-04-17 10:30:00","","",513.6878702879335,"W/m²",184.88943481445312,"W/m²","",""
"06","2020-04-17 10:45:00","","",537.602378585143,"W/m²",178.10192394256592,"W/m²","",""
"06","2020-04-17 11:00:00",292.23504638671875,"K",575.4615277162804,"W/m²",159.54813861846924,"W/m²",3.523557284074709,"m/s"
"06","2020-04-17 11:15:00","","",576.7583731887862,"W/m²",163.42563724517822,"W/m²","",""
"06","2020-04-17 11:30:00","","",573.3364483464395,"W/m²",168.38816928863525,"W/m²","",""
"06","2020-04-17 11:45:00","","",586.7190395711517,"W/m²",159.4101266860962,"W/m²","",""
"06","2020-04-17 12:00:00",293.5286865234375,"K",573.4064285212952,"W/m²",165.7068452835083,"W/m²",2.912875440772797,"m/s"
"06","2020-04-17 12:15:00","","",404.70341489469837,"W/m²",267.2064037322998,"W/m²","",""
"06","2020-04-17 12:30:00","","",485.0161750703129,"W/m²",213.43192863464355,"W/m²","",""
"06","2020-04-17 12:45:00","","",516.0629938291676,"W/m²",184.67578887939453,"W/m²","",""
"06","2020-04-17 13:00:00",294.44464111328125,"K",513.7192107092403,"W/m²",175.31007766723633,"W/m²",3.056453591064633,"m/s"
"06","2020-04-17 13:15:00","","",486.0004386953368,"W/m²",180.1386547088623,"W/m²","",""
"06","2020-04-17 13:30:00","","",491.9380289310072,"W/m²",160.76513481140137,"W/m²","",""
"06","2020-04-17 13:45:00","","",475.5005888432202,"W/m²",154.11183738708496,"W/m²","",""
"06","2020-04-17 14:00:00",294.6622619628906,"K",425.8129033934387,"W/m²",167.64134788513184,"W/m²",3.702509477072141,"m/s"
"06","2020-04-17 14:15:00","","",307.54716080188547,"W/m²",220.4770050048828,"W/m²","",""
"06","2020-04-17 14:30:00","","",310.10990259761405,"W/m²",198.29652786254883,"W/m²","",""
"06","2020-04-17 14:45:00","","",298.06259474530816,"W/m²",182.93058013916016,"W/m²","",""
"06","2020-04-17 15:00:00",294.3480224609375,"K",225.21882601227819,"W/m²",202.93200302124023,"W/m²",3.8065915783139053,"m/s"
"06","2020-04-17 15:15:00","","",190.68755727089734,"W/m²",198.23595809936523,"W/m²","",""
"06","2020-04-17 15:30:00","","",171.015647927444,"W/m²",183.6532745361328,"W/m²","",""
"06","2020-04-17 15:45:00","","",88.76563804500633,"W/m²",196.3949909210205,"W/m²","",""
"06","2020-04-17 16:00:00",293.5232849121094,"K",48.53125767092531,"W/m²",182.76343727111816,"W/m²",2.168504635924882,"m/s"
"06","2020-04-17 16:15:00","","",15.984381212387234,"W/m²",161.12413597106934,"W/m²","",""
"06","2020-04-17 16:30:00","","",30.78143469226857,"W/m²",141.5758991241455,"W/m²","",""
"06","2020-04-17 16:45:00","","",39.09402355208165,"W/m²",118.89139175415039,"W/m²","",""
"06","2020-04-17 17:00:00",292.2357177734375,"K",27.391314368113463,"W/m²",101.32477188110352,"W/m²",2.256800161316496,"m/s"
"06","2020-04-17 17:15:00","","",10.929796011158162,"W/m²",86.34452247619629,"W/m²","",""
"06","2020-04-17 17:30:00","","",7.9609745705086326,"W/m²",66.53835105895996,"W/m²","",""
"06","2020-04-17 17:45:00","","",0.210938519158711,"W/m²",44.9294490814209,"W/m²","",""
"06","2020-04-17 18:00:00",290.65985107421875,"K",1.46094369707836,"W/m²",26.7912540435791,"W/m²",2.240996970038081,"m/s"
"06","2020-04-17 18:15:00","","",-0.20312487558151202,"W/m²",13.004556655883789,"W/m²","",""
"06","2020-04-17 18:30:00","","",0.375000120751145,"W/m²",1.322572708129882,"W/m²","",""
"06","2020-04-17 18:45:00","","",0.13281261568889002,"W/m²",0.19485092163085901,"W/m²","",""
"06","2020-04-17 19:00:00",289.5195617675781,"K",0.16406261062249503,"W/m²",0.046043395996093,"W/m²",1.736068178405258,"m/s"
"06","2020-04-17 19:15:00","","",0.023437607569826,"W/m²",-0.016604423522949,"W/m²","",""
"06","2020-04-17 19:30:00","","",0.070312602327515,"W/m²",0.201834678649902,"W/m²","",""
"06","2020-04-17 19:45:00","","",0.27343759930175204,"W/m²",0.05709266662597601,"W/m²","",""
"06","2020-04-17 20:00:00",288.1294860839844,"K",0.16406259487900401,"W/m²",-0.06036949157714801,"W/m²",2.538391571475702,"m/s"
"06","2020-04-17 20:15:00","","",-0.320312407275454,"W/m²",0.056683540344238004,"W/m²","",""
"06","2020-04-17 20:30:00","","",0.11718758903029801,"W/m²",-0.045113563537597004,"W/m²","",""
"06","2020-04-17 20:45:00","","",0.125000085098048,"W/m²",0.06401729583740201,"W/m²","",""
"06","2020-04-17 21:00:00",287.101806640625,"K",0.10937508413982001,"W/m²",0.149853706359863,"W/m²",2.139071939210015,"m/s"
"06","2020-04-17 21:15:00","","",0.039062580501453004,"W/m²",-0.041714668273925004,"W/m²","",""
"06","2020-04-17 21:30:00","","",0.367187577502595,"W/m²",0.18460369110107402,"W/m²","",""
"06","2020-04-17 21:45:00","","",0.10937507620909101,"W/m²",-0.13971328735351501,"W/m²","",""
"06","2020-04-17 22:00:00",286.7961730957031,"K",0.20312507219198603,"W/m²",0.18821525573730402,"W/m²",2.377287271939934,"m/s"
"06","2020-04-17 22:15:00","","",-0.36718743002042104,"W/m²",-0.06979751586914,"W/m²","",""
"06","2020-04-17 22:30:00","","",0.398437570300367,"W/m²",0.070827484130859,"W/m²","",""
"06","2020-04-17 22:45:00","","",-0.054687434341758004,"W/m²",0.10188865661621001,"W/m²","",""
"06","2020-04-17 23:00:00",286.3174743652344,"K",0.304687564203308,"W/m²",0.007947921752929,"W/m²",1.966612914704755,"m/s"
"06","2020-04-17 23:15:00","","",-0.109374936074018,"W/m²",0.043128013610839004,"W/m²","",""
"06","2020-04-17 23:30:00","","",0.28125006078432,"W/m²",-0.06643581390380801,"W/m²","",""
"06","2020-04-17 23:45:00","","",-0.15624994123975403,"W/m²",0.218606948852539,"W/m²","",""
